ts in ms,sensor id,mapped id,number,full name,league id,group id,group name,x in m,y in m,z in m
0,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,14.274,10.864,1.6
50,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,4.094,13.489,1.6
50,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,20.094,15.837,1.6
50,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,35.413,10.752,1.6
50,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.884,6.002,1.6
50,40849,2180,92,Ball,4460903,3,Ball,39.644,9.726,0.148
50,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,12.237,20.437,1.6
50,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.365,9.977,1.6
50,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,14.267,10.871,1.6
100,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,4.16,13.515,1.6
100,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,20.177,15.722,1.6
100,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,35.462,10.736,1.6
100,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.885,5.894,1.6
100,40849,2180,92,Ball,4460903,3,Ball,39.592,9.737,0.098
100,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,12.268,20.437,1.6
100,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.375,9.977,1.6
100,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,14.261,10.879,1.6
150,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,4.221,13.539,1.6
150,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,20.256,15.61,1.6
150,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,35.51,10.721,1.6
150,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.887,5.787,1.6
150,40849,2180,92,Ball,4460903,3,Ball,39.606,9.735,0.055
150,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,12.3,20.437,1.6
150,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.396,9.975,1.6
150,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,14.254,10.887,1.6
200,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,4.283,13.564,1.6
200,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,20.336,15.498,1.6
200,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,35.557,10.708,1.6
200,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.887,5.66,1.6
200,40849,2180,92,Ball,4460903,3,Ball,39.604,9.722,0.062
200,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,12.335,20.437,1.6
200,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.416,9.973,1.6
200,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,14.237,10.897,1.6
250,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,4.344,13.588,1.6
250,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,20.415,15.387,1.6
250,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,35.601,10.698,1.6
250,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.887,5.531,1.6
250,40849,2180,92,Ball,4460903,3,Ball,39.602,9.634,0.054
250,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,12.37,20.437,1.6
250,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.437,9.971,1.6
250,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,14.22,10.907,1.6
300,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,4.406,13.612,1.6
300,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,20.508,15.249,1.6
300,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,35.645,10.688,1.6
300,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.887,5.403,1.6
300,40849,2180,92,Ball,4460903,3,Ball,39.529,9.552,0.009
300,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,12.406,20.437,1.6
300,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.457,9.969,1.6
300,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,14.202,10.918,1.6
350,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,4.473,13.632,1.6
350,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,20.615,15.083,1.6
350,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,35.689,10.678,1.6
350,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.888,5.275,1.6
350,40849,2180,92,Ball,4460903,3,Ball,39.356,9.59,0.016
350,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,12.444,20.436,1.6
350,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.48,9.945,1.6
350,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,14.186,10.926,1.6
400,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,4.541,13.65,1.6
400,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,20.722,14.917,1.6
400,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,35.733,10.668,1.6
400,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.888,5.149,1.6
400,40849,2180,92,Ball,4460903,3,Ball,39.3,9.608,0.081
400,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,12.49,20.434,1.6
400,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.504,9.916,1.6
400,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,14.174,10.926,1.6
450,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,4.609,13.669,1.6
450,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,20.829,14.75,1.6
450,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,35.786,10.649,1.6
450,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.89,5.025,1.6
450,40849,2180,92,Ball,4460903,3,Ball,39.371,9.602,0.194
450,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,12.537,20.432,1.6
450,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.527,9.888,1.6
450,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,14.162,10.926,1.6
500,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,4.678,13.687,1.6
500,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,20.951,14.576,1.6
500,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,35.838,10.63,1.6
500,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.891,4.9,1.6
500,40849,2180,92,Ball,4460903,3,Ball,39.433,9.618,0.253
500,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,12.583,20.43,1.6
500,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.55,9.86,1.6
500,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,14.149,10.926,1.6
550,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,4.748,13.701,1.6
550,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,21.077,14.399,1.6
550,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,35.89,10.61,1.6
550,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.892,4.776,1.6
550,40849,2180,92,Ball,4460903,3,Ball,39.424,9.673,0.154
550,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,12.63,20.428,1.6
550,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.564,9.825,1.6
550,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,14.13,10.925,1.6
600,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,4.819,13.711,1.6
600,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,21.204,14.222,1.6
600,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,35.949,10.593,1.6
600,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.894,4.656,1.6
600,40849,2180,92,Ball,4460903,3,Ball,39.419,9.717,0.033
600,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,12.683,20.418,1.6
600,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.57,9.783,1.6
600,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,14.103,10.924,1.6
650,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,4.891,13.72,1.6
650,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,21.329,14.045,1.6
650,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,36.022,10.579,1.6
650,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.899,4.546,1.6
650,40849,2180,92,Ball,4460903,3,Ball,39.418,9.726,0.022
650,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,12.736,20.408,1.6
650,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.575,9.742,1.6
650,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,14.076,10.923,1.6
700,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,4.963,13.73,1.6
700,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,21.426,13.875,1.6
700,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,36.095,10.566,1.6
700,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.904,4.437,1.6
700,40849,2180,92,Ball,4460903,3,Ball,39.427,9.72,0.03
700,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,12.789,20.397,1.6
700,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.58,9.701,1.6
700,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,14.049,10.922,1.6
750,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,5.044,13.738,1.6
750,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,21.523,13.705,1.6
750,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,36.169,10.553,1.6
750,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.908,4.328,1.6
